"","group","RE_variance","R2marg","R2cond","sigma","R2cond_R2marg"
"1","bacteria",0.1,0.07,0.33,0.16,0.26
"2","fungi",0.16,0.21,0.53,0.2,0.32
"3","protists",0.07,0.2,0.24,0.3,0.05
"4","nematodes",0.11,0.11,0.33,0.2,0.22
"5","springtails",0.18,0.05,0.15,0.56,0.1
"6","mites",0.1,0.15,0.18,0.49,0.03
"7","isopods",0.12,0.59,0.61,1,0.02
"8","millipedes",0.5,0.49,0.72,1,0.23
"9","centipedes",0.34,0.14,0.27,1,0.13
"10","harvestmen",0.26,0.42,0.49,1,0.07
"11","carabids",0.5,0.21,0.71,1,0.5
"12","earthworms",0.27,0.14,0.28,1,0.14
