"","species_group","method","Food forest/Forest","Food forest/Grassland","Food forest/Arable_field"
"1","bacteria","boot","1.14 [1.06, 1.23]","1.09 [1.01, 1.18]","0.95 [0.86, 1.03]"
"2","bacteria","Wald","1.14 [1.04, 1.25]","1.09 [1, 1.2]","0.95 [0.85, 1.05]"
"3","fungi","boot","1.3 [1.13, 1.47]","1.28 [1.11, 1.45]","1.67 [1.41, 1.94]"
"4","fungi","Wald","1.3 [1.11, 1.52]","1.28 [1.09, 1.51]","1.67 [1.39, 2.02]"
"5","protists","boot","1.41 [0.99, 1.83]","1.26 [0.9, 1.63]","0.94 [0.73, 1.16]"
"6","protists","Wald","1.41 [0.99, 1.99]","1.26 [0.9, 1.78]","0.94 [0.72, 1.24]"
"7","nematodes","boot","0.9 [0.69, 1.12]","1.2 [0.92, 1.48]","0.83 [0.65, 1.02]"
"8","nematodes","Wald","0.9 [0.68, 1.21]","1.2 [0.91, 1.59]","0.83 [0.63, 1.1]"
"9","springtails","boot","1.26 [0.85, 1.67]","1.18 [0.8, 1.57]","1.42 [0.8, 2.05]"
"10","springtails","Wald","1.26 [0.86, 1.86]","1.18 [0.8, 1.73]","1.42 [0.87, 2.34]"
"11","mites","boot","0.98 [0.56, 1.41]","1.5 [0.71, 2.29]","1.06 [0.42, 1.69]"
"12","mites","Wald","0.98 [0.6, 1.61]","1.5 [0.84, 2.69]","1.06 [0.54, 2.05]"
"13","isopods","boot","0.92 [0.6, 1.24]","2.03 [1.09, 2.98]","3.78 [-2876729288.22, 2876729295.77]"
"14","isopods","Wald","0.92 [0.62, 1.37]","2.03 [1.23, 3.36]","3.78 [1.61, 8.86]"
"15","millipedes","boot","0.66 [0.43, 0.89]","2.66 [1.01, 4.31]","3.16 [-0.89, 7.2]"
"16","millipedes","Wald","0.66 [0.44, 1]","2.66 [1.44, 4.89]","3.16 [1.33, 7.48]"
"17","centipedes","boot","0.73 [0.32, 1.14]","1.35 [0.36, 2.34]","1.63 [-5635834792.8, 5635834796.05]"
"18","centipedes","Wald","0.73 [0.39, 1.36]","1.35 [0.65, 2.8]","1.63 [0.6, 4.44]"
"19","harvestmen","boot","0.75 [0.43, 1.06]","2.8 [0.63, 4.96]","2.75 [-226270266.91, 226270272.41]"
"20","harvestmen","Wald","0.75 [0.46, 1.21]","2.8 [1.36, 5.74]","2.75 [1.07, 7.1]"
"21","carabids","boot","1.32 [0.83, 1.81]","0.79 [0.54, 1.03]","0.68 [0.41, 0.96]"
"22","carabids","Wald","1.32 [0.86, 2.02]","0.79 [0.54, 1.14]","0.68 [0.44, 1.06]"
"23","earthworms","boot","1.74 [1.13, 2.34]","1.03 [0.73, 1.33]","1.23 [0.72, 1.73]"
"24","earthworms","Wald","1.74 [1.16, 2.59]","1.03 [0.73, 1.46]","1.23 [0.77, 1.94]"
