"","group","contrast","n_FF","n_CON","F_loc","p_loc","FF","CON","F_lu","p_lu"
"1","bacteria","Arable_field","90","54","15.8","0.003","0.53","0.51","6.2","0.042"
"2","bacteria","Forest","90","84","16.4","0.003","0.53","0.61","108.1","0.003"
"3","bacteria","Grassland","90","81","18","0.003","0.53","0.53","0","1"
"4","fungi","Arable_field","90","54","4.9","0.003","0.57","0.52","35.7","0.003"
"5","fungi","Forest","90","84","6.6","0.003","0.57","0.63","70.8","0.003"
"6","fungi","Grassland","90","82","14","0.003","0.57","0.56","0.5","1"
"7","protists","Arable_field","48","18","2.8","0.045","0.59","0.53","23.9","0.003"
"8","protists","Forest","48","36","4","0.006","0.59","0.63","23.7","0.003"
"9","protists","Grassland","48","39","7.7","0.003","0.59","0.6","0.3","1"
"10","nematodes","Arable_field","46","17","2","0.27","0.6","0.46","146.3","0.003"
"11","nematodes","Forest","46","40","2.8","0.057","0.6","0.62","4","0.15"
"12","nematodes","Grassland","46","39","2.8","0.045","0.6","0.6","0.3","1"
"13","microarthropods","Arable_field","20","8","4.2","0.012","0.63","0.57","4.5","0.135"
"14","microarthropods","Forest","20","17","1.8","0.369","0.63","0.64","0.1","1"
"15","microarthropods","Grassland","20","17","2.6","0.111","0.63","0.61","1.1","0.921"
"16","macroarthropods","Arable_field","28","12","14.6","0.003","0.6","0.57","2.1","0.435"
"17","macroarthropods","Forest","28","24","7","0.003","0.6","0.56","4.6","0.12"
"18","macroarthropods","Grassland","28","23","5.3","0.003","0.6","0.61","0.3","1"
"19","earthworms","Arable_field","25","14","2.6","0.072","0.4","0.36","0.9","1"
"20","earthworms","Forest","25","17","3.7","0.021","0.4","0.43","0.7","1"
"21","earthworms","Grassland","25","29","2","0.189","0.4","0.37","0.8","1"
"22","springtails","Arable_field","20","8","6","0.009","0.62","0.56","3.4","0.222"
"23","springtails","Forest","20","17","1.3","0.903","0.62","0.63","0","1"
"24","springtails","Grassland","20","17","2.9","0.057","0.62","0.61","0.5","1"
"25","mites","Forest","17","12","1.2","0.738","0.63","0.64","0.1","1"
"26","mites","Grassland","17","6","2.9","0.066","0.63","0.58","2.5","0.236"
"27","isopods","Forest","26","24","4.7","0.002","0.56","0.52","2.3","0.282"
"28","isopods","Grassland","26","7","14.7","0.002","0.56","0.52","1","0.682"
"29","millipedes","Forest","23","21","2.4","0.031","0.6","0.59","0.4","0.519"
"30","centipedes","Forest","10","8","3.7","0.053","0.26","0.26","0","0.898"
"31","harvestmen","Forest","10","11","8","0.004","0.53","0.55","0.1","0.818"
"32","carabids","Arable_field","21","12","14.2","0.003","0.61","0.56","5","0.102"
"33","carabids","Forest","21","14","13.5","0.003","0.61","0.62","0.2","1"
"34","carabids","Grassland","21","19","4.3","0.009","0.61","0.56","5.4","0.081"
