dna_code;vb_code;landuse;unique_site;texture;location;
1;VB017;Forest;3;Klei;Haarzuilens;
2;VB085;Food_forest;15;Leem;Groesbeek;
3;VB111;Arable_field;19;Leem;Sint-Truiden;
4;VB121;Food_forest;21;Klei;Amsterdam;
5;VB011;Grassland;2;Klei;Haarzuilens;
6;VB029;Forest;5;Klei;Vlaardingen;
7;VB027;Forest;5;Klei;Vlaardingen;
8;VB145;Food_forest;25;Zand;Swalmen;
9;VB063;Forest;11;Zand;Boelenslaan;
10;VB033;Grassland;6;Klei;Vlaardingen;
11;VB001;Food_forest;1;Klei;Haarzuilens;
12;VB059;Food_forest;10;Zand;Boelenslaan;
13;VB109;Arable_field;19;Leem;Sint-Truiden;
14;VB019;Arable_field;4;Klei;Haarzuilens;
15;VB105;Grassland;18;Leem;Sint-Truiden;
16;VB127;Forest;22;Klei;Amsterdam;
17;VB139;Grassland;24;Zand;Swalmen;
18;VB075;Forest;13;Leem;Groesbeek;
19;VB003;Food_forest;1;Klei;Haarzuilens;
20;VB025;Forest;5;Klei;Vlaardingen;
21;VB057;Food_forest;10;Zand;Boelenslaan;
22;VB041;Food_forest;7;Klei;Vlaardingen;
23;VB091;Food_forest;16;Leem;Sint-Truiden;
24;VB107;Grassland;18;Leem;Sint-Truiden;
25;VB021;Arable_field;4;Klei;Haarzuilens;
26;VB113;Arable_field;19;Leem;Sint-Truiden;
27;VB065;Forest;11;Zand;Boelenslaan;
28;VB037;Food_forest;7;Klei;Vlaardingen;
29;VB123;Food_forest;21;Klei;Amsterdam;
30;VB077;Forest;13;Leem;Groesbeek;
31;VB043;Food_forest;8;Zand;Boelenslaan;
32;VB129;Forest;22;Klei;Amsterdam;
33;VB081;Grassland;14;Leem;Groesbeek;
34;VB131;Forest;22;Klei;Amsterdam;
35;VB067;Arable_field;12;Leem;Groesbeek;
36;VB005;Food_forest;1;Klei;Haarzuilens;
37;VB125;Food_forest;21;Klei;Amsterdam;
38;VB147;Food_forest;25;Zand;Swalmen;
39;VB103;Grassland;18;Leem;Sint-Truiden;
40;VB039;Food_forest;7;Klei;Vlaardingen;
41;VB097;Forest;17;Leem;Sint-Truiden;
42;VB069;Arable_field;12;Leem;Groesbeek;
43;VB061;Forest;11;Zand;Boelenslaan;
44;VB099;Forest;17;Leem;Sint-Truiden;
45;VB049;Grassland;9;Zand;Boelenslaan;
46;VB035;Grassland;6;Klei;Vlaardingen;
47;VB009;Grassland;2;Klei;Haarzuilens;
48;VB015;Forest;3;Klei;Haarzuilens;
49;VB023;Arable_field;4;Klei;Haarzuilens;
50;VB013;Forest;3;Klei;Haarzuilens;
51;VB045;Food_forest;8;Zand;Boelenslaan;
52;VB093;Food_forest;16;Leem;Sint-Truiden;
53;VB071;Arable_field;12;Leem;Groesbeek;
54;VB119;Grassland;20;Klei;Amsterdam;
55;VB101;Forest;17;Leem;Sint-Truiden;
56;VB143;Grassland;24;Zand;Swalmen;
57;VB135;Forest;23;Zand;Swalmen;
58;VB089;Food_forest;15;Leem;Groesbeek;
59;VB073;Forest;13;Leem;Groesbeek;
60;VB087;Food_forest;15;Leem;Groesbeek;
61;VB007;Grassland;2;Klei;Haarzuilens;
62;VB095;Food_forest;16;Leem;Sint-Truiden;
63;VB133;Forest;23;Zand;Swalmen;
64;VB117;Grassland;20;Klei;Amsterdam;
65;VB115;Grassland;20;Klei;Amsterdam;
66;VB137;Forest;23;Zand;Swalmen;
67;VB141;Grassland;24;Zand;Swalmen;
68;VB083;Grassland;14;Leem;Groesbeek;
69;VB047;Food_forest;8;Zand;Boelenslaan;
70;VB051;Grassland;9;Zand;Boelenslaan;
71;VB055;Food_forest;10;Zand;Boelenslaan;
72;VB031;Grassland;6;Klei;Vlaardingen;
73;VB149;Food_forest;25;Zand;Swalmen;
74;VB053;Grassland;9;Zand;Boelenslaan;
75;VB333;Forest;56;Zand;Schijndel;
76;VB327;Grassland;55;Zand;Schijndel;
77;VB331;Forest;56;Zand;Schijndel;
78;VB317;Food_forest;53;Zand;Schijndel;
79;VB321;Food_forest;54;Zand;Schijndel;
80;VB325;Grassland;55;Zand;Schijndel;
81;VB315;Food_forest;53;Zand;Schijndel;
82;VB323;Food_forest;54;Zand;Schijndel;
83;VB329;Grassland;55;Zand;Schijndel;
84;VB319;Food_forest;54;Zand;Schijndel;
85;VB335;Forest;56;Zand;Schijndel;
86;VB313;Food_forest;53;Zand;Schijndel;
29B;VB123B;Food_forest;21;Klei;Amsterdam;
60B;VB087B;Food_forest;15;Leem;Groesbeek;
